transaction_id,store_name,product_name,product_category,total_price,age_group
T65,Store_2,Product_J,Home,113.64,18-25
T794,Store_4,Product_G,Groceries,176.79,41-60
T600,Store_4,Product_D,Home,71.72,60+
T1545,Store_1,Product_A,Electronics,225.66,41-60
T1177,Store_5,Product_H,Toys,18.56,26-40
T1071,Store_5,Product_D,Groceries,85.37,60+
T835,Store_2,Product_F,Toys,173.86,26-40
T152,Store_2,Product_G,Groceries,144.21,18-25
T623,Store_9,Product_A,Electronics,272.88,41-60
T1199,Store_10,Product_E,Electronics,253.17,18-25
T724,Store_7,Product_I,Clothing,264.65,26-40
T599,Store_10,Product_C,Home,229.46,26-40
T66,Store_6,Product_A,Electronics,24.72,41-60
T1501,Store_9,Product_C,Home,127.93,26-40
T166,Store_8,Product_C,Electronics,261.42,18-25
T933,Store_10,Product_B,Clothing,274.97,18-25
T550,Store_9,Product_F,Home,73.94,41-60
T400,Store_7,Product_J,Toys,23.7,18-25
T1430,Store_10,Product_J,Clothing,282.22,26-40
T295,Store_3,Product_F,Clothing,132.82,60+
T603,Store_10,Product_J,Home,24.65,18-25
T1036,Store_6,Product_B,Toys,231.93,18-25
T262,Store_8,Product_I,Groceries,74.62,26-40
T1609,Store_7,Product_I,Home,255.19,60+
T383,Store_6,Product_H,Clothing,143.92,41-60
T426,Store_8,Product_G,Groceries,294.13,60+
T24,Store_1,Product_H,Groceries,154.36,26-40
T1896,Store_8,Product_I,Toys,124.55,18-25
T714,Store_2,Product_I,Toys,283.48,26-40
T1330,Store_8,Product_G,Home,115.66,60+
T1681,Store_4,Product_G,Electronics,242.42,26-40
T660,Store_1,Product_J,Electronics,240.8,41-60
T979,Store_8,Product_H,Toys,252.66,26-40
T1524,Store_1,Product_J,Electronics,35.49,18-25
T353,Store_2,Product_A,Groceries,84.41,26-40
T276,Store_10,Product_B,Toys,267.93,26-40
T1450,Store_2,Product_C,Toys,130.83,26-40
T480,Store_4,Product_F,Home,296.69,60+
T1552,Store_5,Product_E,Home,100.24,18-25
T1330,Store_2,Product_D,Home,238.13,60+
T733,Store_4,Product_B,Groceries,105.22,41-60
T96,Store_3,Product_I,Clothing,293.74,26-40
T1565,Store_2,Product_F,Electronics,255.44,18-25
T520,Store_1,Product_A,Home,66.32,26-40
T498,Store_2,Product_D,Clothing,251.05,41-60
T882,Store_9,Product_C,Electronics,150.36,60+
T796,Store_7,Product_F,Toys,176.26,26-40
T1098,Store_5,Product_F,Groceries,280.6,60+
T606,Store_7,Product_F,Home,255.63,26-40
T810,Store_5,Product_I,Home,247.96,26-40
T1332,Store_1,Product_E,Electronics,238.66,18-25
T317,Store_4,Product_I,Home,204.87,60+
T1887,Store_10,Product_I,Home,151.19,41-60
